Date,LastPrice,ShareOut,MarketCap,EPS,EPSTTM,PER,BVPS,PBV,ROA%,ROE%,EV,EBITDA,EV/EBITDA,D/E,Debt/Totalcap,Debt/EBITDA
2015-08-31,36.74,344863000.0,12670266620.0,0.362462775073,0.0,0.0,13.4836152327156,2.7247885204301077,0.0,0.0,12757266620.0,65000000.0,196.2656403076923,2.263440860215054,0.2571884984025559,24.76923076923077
2015-09-30,37.12,344863000.0,12801314560.0,0.362462775073,0.0,0.0,13.4836152327156,2.7529708731182794,0.0,0.0,12888314560.0,65000000.0,198.28176246153845,2.263440860215054,0.2571884984025559,24.76923076923077
2015-10-30,35.03,344863000.0,12080550890.0,0.362462775073,0.0,0.0,13.4836152327156,2.5979679333333334,0.0,0.0,12167550890.0,65000000.0,187.19309061538462,2.263440860215054,0.2571884984025559,24.76923076923077
2015-11-30,31.78,351000000.0,11154780000.0,1.3646723646723646,0.0,0.0,12.472934472934472,2.5479168570123347,0.0,0.0,11396780000.0,607000000.0,18.775584843492588,2.0879396984924625,0.2837041884816754,2.85667215815486
2015-12-31,30.45,351000000.0,10687950000.0,1.3646723646723646,0.0,0.0,12.472934472934472,2.4412859753312013,0.0,0.0,10929950000.0,607000000.0,18.006507413509063,2.0879396984924625,0.2837041884816754,2.85667215815486
2016-01-29,27.93,351000000.0,9803430000.0,1.3646723646723646,0.0,0.0,12.472934472934472,2.2392485153037915,0.0,0.0,10045430000.0,607000000.0,16.549308072487644,2.0879396984924625,0.2837041884816754,2.85667215815486
2016-02-29,32.39,327000000.0,10591530000.0,0.7003058103975535,0.0,0.0,13.535168195718654,2.393025305015816,0.0,0.0,11058530000.0,218000000.0,50.727201834862385,1.9148215092634433,0.23742246726395588,6.321100917431193
2016-03-31,32.44,327000000.0,10607880000.0,0.7003058103975535,0.0,0.0,13.535168195718654,2.396719385449616,0.0,0.0,11074880000.0,218000000.0,50.80220183486239,1.9148215092634433,0.23742246726395588,6.321100917431193
2016-04-29,32.08,327000000.0,10490160000.0,0.7003058103975535,0.0,0.0,13.535168195718654,2.370122006326254,0.0,0.0,10957160000.0,218000000.0,50.26220183486239,1.9148215092634433,0.23742246726395588,6.321100917431193
2016-05-31,32.17,323000000.0,10390910000.0,0.6130030959752322,3.04044404611815,10.580691343776794,13.371517027863778,2.405860152813151,7.778783763392183,23.871266496874277,10867910000.0,132000000.0,82.33265151515151,2.0687659180365827,0.2426792916009118,10.484848484848484
2016-06-30,30.6,323000000.0,9883800000.0,0.6130030959752322,3.04044404611815,10.064319400670497,13.371517027863778,2.2884463996295437,7.778783763392183,23.871266496874277,10360800000.0,132000000.0,78.49090909090908,2.0687659180365827,0.2426792916009118,10.484848484848484
2016-07-29,33.6,323000000.0,10852800000.0,0.6130030959752322,3.04044404611815,11.05101738112839,13.371517027863778,2.512803889789303,7.778783763392183,23.871266496874277,11329800000.0,132000000.0,85.83181818181818,2.0687659180365827,0.2426792916009118,10.484848484848484
2016-08-31,38.48,313000000.0,12044239999.999998,0.6198083067092651,3.2977895777544153,11.668421860379105,13.613418530351439,2.8266228584839235,7.564296520423601,25.815536259094106,12018239999.999998,156000000.0,77.03999999999999,2.4128138934522414,0.24289267945984364,8.762820512820513
2016-09-30,38.18,313000000.0,11950340000.0,0.6198083067092651,3.2977895777544153,11.577451835480101,13.613418530351439,2.804585777986388,7.564296520423601,25.815536259094106,11924340000.0,156000000.0,76.43807692307692,2.4128138934522414,0.24289267945984364,8.762820512820513
2016-10-31,38.91,313000000.0,12178829999.999998,0.6198083067092651,3.2977895777544153,11.798812229401012,13.613418530351439,2.8582093405303914,7.564296520423601,25.815536259094106,12152829999.999998,156000000.0,77.9027564102564,2.4128138934522414,0.24289267945984364,8.762820512820513
2016-11-30,45.7,311108000.0,14217635600.0,1.9510909394808233,3.8842081525628736,11.765589846117358,15.136222790799337,3.019247313654704,8.862586605080832,26.077723508175833,15092635600.0,728000000.0,20.731642307692308,1.9424506264599704,0.22472835034573593,1.875
2016-12-30,42.67,311108000.0,13274978360.0,1.9510909394808233,3.8842081525628736,10.985508068573909,15.136222790799337,2.8190652707581227,8.862586605080832,26.077723508175833,14149978360.0,728000000.0,19.43678346153846,1.9424506264599704,0.22472835034573593,1.875
2017-01-31,44.52,311108000.0,13850528160.000002,1.9510909394808233,3.8842081525628736,11.461795622519578,15.136222790799337,2.941288630282438,8.862586605080832,26.077723508175833,14725528160.000002,728000000.0,20.22737384615385,1.9424506264599704,0.22472835034573593,1.875
